int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
151,1718,transporter(12),transporter(12),true,36.61399999999887,10.0,50,6.26
152,1590,transporter(12),transporter(12),true,16.959999999999482,10.0,50,5.22
153,2803,transporter(12),transporter(12),true,44.10999999999924,10.0,50,8.28
154,4626,transporter(12),transporter(12),true,37.494,10.0,50,6.84
155,1727,transporter(12),transporter(12),true,45.77399999999861,10.0,50,5.96
156,2448,transporter(12),transporter(12),true,47.55999999999825,10.0,50,7.3
157,2435,transporter(12),transporter(12),true,48.917999999998166,10.0,50,7.7
158,2616,transporter(12),transporter(12),true,39.66199999999869,10.0,50,5.7
159,3947,transporter(12),transporter(12),true,40.80599999999931,10.0,50,6.52
160,1550,transporter(12),transporter(12),true,33.187999999999064,10.0,50,4.66
161,2941,transporter(12),transporter(12),true,42.309999999998915,10.0,50,5.8
162,1987,transporter(12),transporter(12),true,52.873999999998205,10.0,50,6.5
163,1877,transporter(12),transporter(12),true,27.889999999999098,10.0,50,6.7
164,1531,transporter(12),transporter(12),true,33.681999999999036,10.0,50,4.62
165,2729,transporter(12),transporter(12),true,36.809999999998695,10.0,50,5.1
166,1854,transporter(12),transporter(12),true,32.757999999999086,10.0,50,5.22
167,7443,transporter(12),transporter(12),true,37.49400000000001,10.0,50,6.64
168,1303,transporter(12),transporter(12),true,25.76999999999948,10.0,50,4.64
169,1763,transporter(12),transporter(12),true,27.247999999999138,10.0,50,5.3
170,1390,transporter(12),transporter(12),true,31.42999999999933,10.0,50,4.52
171,1909,transporter(12),transporter(12),true,37.667999999998806,10.0,50,4.82
172,4396,transporter(12),transporter(12),true,37.494,10.0,50,6.06
173,4079,transporter(12),transporter(12),true,36.104000000000354,10.0,50,8.1
174,1603,transporter(12),transporter(12),true,36.285999999998886,10.0,50,7.44
175,1323,transporter(12),transporter(12),true,24.165999999999745,10.0,50,4.42
176,3487,transporter(12),transporter(12),true,30.83200000000022,10.0,50,5.14
177,1668,transporter(12),transporter(12),true,36.685999999998856,10.0,50,6.16
178,6794,transporter(12),transporter(12),true,37.68600000000001,10.0,50,6.92
179,2193,transporter(12),transporter(12),true,40.65199999999875,10.0,50,6.8
180,1188,transporter(12),transporter(12),true,27.36799999999939,10.0,50,4.72
181,1704,transporter(12),transporter(12),true,28.057999999999197,10.0,50,5.64
182,1925,transporter(12),transporter(12),true,38.081999999998786,10.0,50,5.72
183,9642,transporter(12),transporter(12),true,44.545999999999175,10.0,50,5.64
184,2602,transporter(12),transporter(12),true,27.207999999999174,10.0,50,6.38
185,4581,transporter(12),transporter(12),true,37.49400000000001,10.0,50,7.38
186,1576,transporter(12),transporter(12),true,18.2159999999995,10.0,50,5.22
187,3698,transporter(12),transporter(12),true,47.6520000000005,10.0,50,8.02
188,1495,transporter(12),transporter(12),true,34.03199999999901,10.0,50,5.82
189,2312,transporter(12),transporter(12),true,28.855999999999042,10.0,50,6.9
190,1778,transporter(12),transporter(12),true,24.3379999999993,10.0,50,5.96
191,1473,transporter(12),transporter(12),true,39.7599999999992,10.0,50,5.66
192,2077,transporter(12),transporter(12),true,30.635999999999203,10.0,50,6.56
193,2316,transporter(12),transporter(12),true,34.9599999999987,10.0,50,5.42
194,1792,transporter(12),transporter(12),true,36.91799999999885,10.0,50,5.68
195,3824,transporter(12),transporter(12),true,55.99200000000077,10.0,50,6.26
196,3134,transporter(12),transporter(12),true,29.063999999999808,10.0,50,7.16
197,1495,transporter(12),transporter(12),true,32.65999999999908,10.0,50,5.38
198,5813,transporter(12),transporter(12),true,37.49400000000001,10.0,50,6.82
199,3737,transporter(12),transporter(12),true,67.26200000000043,10.0,50,6.68
200,2007,transporter(12),transporter(12),true,29.147999999999104,25.0,50,5.26
201,1965,transporter(12),transporter(12),true,59.475999999997796,25.0,50,9.08
202,1617,transporter(12),transporter(12),true,27.22199999999912,25.0,50,5.68
203,2426,transporter(12),transporter(12),true,41.331999999998516,25.0,50,6.72
204,1046,transporter(12),transporter(12),true,18.735999999999606,25.0,50,2.82
205,1126,transporter(12),transporter(12),true,28.70799999999929,25.0,50,5.12
206,996,transporter(12),transporter(12),true,25.003999999999497,25.0,50,4.16
207,2310,transporter(12),transporter(12),true,30.195999999999017,25.0,50,7.68
208,3749,transporter(12),transporter(12),true,37.494,25.0,50,6.06
209,1775,transporter(12),transporter(12),true,15.859999999999518,25.0,50,5.24
210,3375,transporter(12),transporter(12),true,70.2620000000009,25.0,50,7.2
211,1965,transporter(12),transporter(12),true,63.6819999999978,25.0,50,6.1
212,3017,transporter(12),transporter(12),true,65.17999999999974,25.0,50,6.82
213,3025,transporter(12),transporter(12),true,48.37800000000003,25.0,50,7.06
214,2772,transporter(12),transporter(12),true,37.50799999999854,25.0,50,5.8
215,2240,transporter(12),transporter(12),true,31.551999999998884,25.0,50,5.86
216,1974,transporter(12),transporter(12),true,32.05399999999886,25.0,50,6.94
217,2356,transporter(12),transporter(12),true,46.64799999999828,25.0,50,7.48
218,1849,transporter(12),transporter(12),true,19.435999999999314,25.0,50,5.2
219,1642,transporter(12),transporter(12),true,25.08599999999925,25.0,50,4.82
220,1502,transporter(12),transporter(12),true,36.07199999999888,25.0,50,5.24
221,1730,transporter(12),transporter(12),true,39.837999999998665,25.0,50,5.96
222,3379,transporter(12),transporter(12),true,36.337999999999816,25.0,50,7.04
