int(self),self.cycle,highest_counter,faulty_transporter,faulty_transporter = highest_counter,average_com_range,init_com_radius,length(transporter),average_ties
194,1482,transporter(22),transporter(22),true,27.341999999999572,10.0,50,5.1
195,1374,transporter(22),transporter(22),true,36.063999999999425,10.0,50,6.02
196,2424,transporter(22),transporter(22),true,50.14399999999809,10.0,50,8.02
197,1397,transporter(22),transporter(22),true,29.747999999999255,10.0,50,4.82
198,900,transporter(22),transporter(22),true,28.95599999999982,10.0,50,4.0
199,1849,transporter(22),transporter(22),true,41.30399999999885,10.0,50,6.02
200,3134,transporter(22),transporter(22),true,33.955999999999534,25.0,50,7.18
201,2921,transporter(22),transporter(22),true,48.48800000000005,25.0,50,8.06
202,2847,transporter(22),transporter(22),true,35.14399999999924,25.0,50,7.26
203,970,transporter(22),transporter(22),true,25.905999999999704,25.0,50,4.34
204,1794,transporter(22),transporter(22),true,25.05399999999925,25.0,50,4.94
205,2088,transporter(22),transporter(22),true,56.00999999999801,25.0,50,7.1
206,2744,transporter(22),transporter(22),true,42.62599999999882,25.0,50,9.1
207,2049,transporter(22),transporter(22),true,37.88999999999877,25.0,50,6.98
208,4114,transporter(22),transporter(22),true,37.49400000000001,25.0,50,7.54
209,2806,transporter(22),transporter(22),true,35.84199999999875,25.0,50,7.46
210,1680,transporter(22),transporter(22),true,38.6079999999992,25.0,50,6.48
211,2342,transporter(22),transporter(22),true,39.937999999998404,25.0,50,7.84
212,2077,transporter(22),transporter(22),true,45.58399999999854,25.0,50,7.42
213,3226,transporter(22),transporter(22),true,51.87000000000083,25.0,50,7.32
214,1378,transporter(22),transporter(22),true,14.3339999999999,25.0,50,4.08
215,1247,transporter(22),transporter(22),true,39.32199999999919,25.0,50,6.34
216,1423,transporter(22),transporter(22),true,31.571999999999125,25.0,50,4.58
217,3463,transporter(22),transporter(22),true,77.52400000000253,25.0,50,7.28
218,1700,transporter(22),transporter(22),true,29.365999999999005,25.0,50,6.24
219,3218,transporter(22),transporter(22),true,106.64000000000092,25.0,50,9.36
220,1175,transporter(22),transporter(22),true,26.85799999999957,25.0,50,4.94
221,1177,transporter(22),transporter(22),true,24.271999999999817,25.0,50,4.54
222,4886,transporter(22),transporter(22),true,57.11399999999938,25.0,50,9.1
223,3177,transporter(22),transporter(22),true,32.582000000000555,25.0,50,7.24
224,2845,transporter(22),transporter(22),true,28.219999999999562,25.0,50,7.6
225,2386,transporter(22),transporter(22),true,43.54799999999871,25.0,50,6.58
226,1699,transporter(22),transporter(22),true,26.715999999999443,25.0,50,5.88
227,1977,transporter(22),transporter(22),true,34.34799999999872,25.0,50,6.68
228,1721,transporter(22),transporter(22),true,29.96399999999897,25.0,50,6.52
229,3460,transporter(22),transporter(22),true,54.580000000001434,25.0,50,5.82
